index	sentence	label
2120879.T8.T18	Removing medium Ca2+, blocking Ca2+ channels with 50 mumol/l verapamil, or inhibiting @CHEMICAL$ activation with 20 mumol/l trifluoperazine, 10 mumol/l chlorpromazine or 10 mumol/l @GENE$ almost completely blocked hyposmolarity-induced secretion.	CPR:4
23232060.T1.T3	A series of compounds based on a @CHEMICAL$ scaffold that are potent and selective inhibitors of @GENE$ (TNIK) activity are described.	CPR:4
15723099.T26.T40	Dimemorfan pre-treatment also attenuated the @CHEMICAL$-induced increases in c-fos/c-jun expression, @GENE$ DNA-binding activity, and loss of cells in the CA1 and CA3 fields of the hippocampus.	CPR:3
17341305.T2.T36	INTRODUCTION: @CHEMICAL$ (MPA) induces @GENE$ (ER)-positive and progesterone receptor (PR)-positive ductal invasive mammary carcinomas in BALB/c mice.	CPR:3
23098818.T14.T34	Of the rat CYP isoforms studied, CYP2D isoforms were the most efficient in catalyzing the O-demethylation of @CHEMICAL$ to serotonin, but they were less effective than the @GENE$.	CPR:9
15939622.T4.T19	As expected, comparison of IC50 indicated that meloxicam and carprofen are more selective inhibitors of @CHEMICAL$ than phenylbutazone and @GENE$; meloxicam was the most advantageous for horses of four NSAIDs examined.	CPR:4
17207582.T17.T53	@CHEMICAL$ and 1,2-bis(2-aminophenoxy)ethane-N,N,N',N'-tetra acetic acid tetrakis (BAPTA), two Ca2+ chelators, but not nifedipine, an L-type Ca2+ channel blocker, prevented @GENE$ degradation.	CPR:3
11292635.T24.T35	Bumetanide-sensitive Cl- secretion was dependent on extracellular Na+ and either K+ or NH, consistent with the ion dependency of @CHEMICAL$-mediated @GENE$ transport.	CPR:9
15985706.T6.T30	Using [(3)H]glucosamine-labeled gastric mucosal cells, we show that stimulatory effect of beta-adrenergic agonist, isoproterenol, on @CHEMICAL$ secretion was inhibited by EGFR kinase inhibitor, @GENE$, as well as wortmannin, a specific inhibitor of PI3K. Both inhibitors, moreover, blunted the mucin secretory responses to beta-adrenergic agonist-generated second messenger, cAMP as well as adenylate cyclase activator, forskolin.	CPR:4
1712335.T5.T35	Carvedilol produced significant inhibition of the alpha 1 adrenoceptor mediated pressor response to cirazoline in the pithed rat, but had no effect on the alpha 2 adrenoceptor mediated pressor response to B-HT 933, suggesting that @CHEMICAL$ is also an @GENE$ antagonist at antihypertensive doses.	CPR:6
23385959.T19.T36	@CHEMICAL$ exposure (20 mg/kg) increased p38(MAPK) and Akt phosphorylation, but decreased @GENE$-Thr-34 phosphorylation.	CPR:4
23353701.T4.T22	In agreement with these data, the exogenous treatment of SAH or inhibition of @CHEMICAL$ by specific siRNA or another type of inhibitor, 3-deazaadenosine (@GENE$), similarly resulted in antitumorigenic responses, suppressive activity on Src, the alteration of actin cytoskeleton, and a change of the colocalization pattern between actin and Src.	CPR:4
16781459.T29.T65	Pretreatment with @CHEMICAL$ or NaHS significantly inhibited LPS-induced @GENE$ expression and NO production.	CPR:4
16248990.T11.T26	This effect was reverted in the presence of @CHEMICAL$ (ATR; 0.1 microM), which blocks the pre-synaptic @GENE$.	CPR:4
20188727.T19.T37	@CHEMICAL$ but not metformin inhibits a number of variants of @GENE$ including the cloned equivalents of currents present in vascular and non-vascular smooth muscle (Kir6.1/SUR2B and Kir6.2/SUR2B) and pancreatic beta-cells (Kir6.2/SUR1).	CPR:4
23543737.T9.T27	In the current study, we extend these findings to show that the ability of astrocytes to buffer extracellular @CHEMICAL$ is reduced when @GENE$ is inhibited.	CPR:9
15072849.T8.T21	@CHEMICAL$, a Toll-like receptor-7 agonist, induces @GENE$ in cytotoxic T lymphocytes in vitro.	CPR:3
23470629.T10.T15	Measurement of Transport Activities of @CHEMICAL$ in @GENE$ and Multidrug Resistance-Associated Proteins Using LC-MS/MS.	CPR:9
23393127.T3.T23	Correlating with FSHb activation, both PKA activity and levels of pCREB were increased to a greater extent by low compared with high @CHEMICAL$ pulse frequencies, and the induction of @GENE$ was also attenuated by overexpression of DNPKA at both low and high pulse frequencies.	CPR:3
16781459.T22.T59	Here, we show that at noncytotoxic concentrations, @CHEMICAL$ was able to inhibit NO production and inducible NO synthase (@GENE$) expression via heme oxygenase (HO-1) expression in RAW264.7 macrophages stimulated with lipopolysaccharide (LPS).	CPR:4
19149483.T12.T46	Others kinase inhibitors used recently in cancer therapy include Dasatinib (BMS-354825) specific for ABL non-receptor cytoplasmic kinase, Gefitinib (Iressa), Erlotinib (OSI-774, Tarceva) and Sunitinib (SU 11248, Sutent) specific for VEGF receptor kinase, @CHEMICAL$ (Nilotinib) and INNO-406 (NS-187) specific for @GENE$ kinase.	CPR:4
23619613.T7.T26	Processing of polysialylated NCAM was reproduced in a mouse model by @CHEMICAL$ administration leading to an activation of the inflammasome and secretion of @GENE$.	CPR:3
12487427.T22.T65	In rat plasma the BrBK half-life values in the absence or in the presence of GW660511X (530 nM) or omapatrilat (50 nM) were 9.31 +/- 1.7, 22.06 +/- 3.1 and 25.3 +/- 1.7 min, respectively and BrBK was degraded into BrBK1-8, BrBK1-7, BrBK1-5 and Br-Phe5 plus BrBK2-9, BrBK4-8 and BrBK2-8 metabolites not found in human plasma. GW660511X and omapatrilat reduced the production of BrBK1-5 and BrBK1-7 with more effect being observed with omapatrilat. @CHEMICAL$ and omapatrilat increased the production of both @GENE$ and Br-Phe5 but not that of BrBK4-8 and BrBK2-8.	CPR:3
12897749.T17.T38	Inhibition corresponded to increased cAMP production caused by rolipram alone or rolipram plus @CHEMICAL$ and blocked proportionately the phosphorylation and activation of @GENE$ in FMLP/B-activated eosinophils.	CPR:4
16809898.T19.T33	We hypothesized that preservation of plasma @CHEMICAL$ in CRF may be, partly, due to downregulation/inhibition of @GENE$.	CPR:9
12200198.T1.T22	@CHEMICAL$ prevented the PT in mitochondria directly and also indirectly through induction of antiapoptotic @GENE$ and a neurotrophic factor, glial cell line-derived neurotrophic factor (GDNF).	CPR:3
23454145.T3.T24	In non-pre-treated cells, @CHEMICAL$ was up-regulated by both @GENE$.	CPR:3
16618126.T5.T35	The purified @CHEMICAL$ is inactive in detergent micelles or in micelles containing phosphatidylcholine, phosphatidic acid, or phosphatidylinositol, is minimally activated by phosphatidylglycerol or @GENE$ (PE), and is maximally activated by PS.	CPR:3
23591110.T4.T10	Discovery of aryl ureas and @CHEMICAL$ as potent and selective @GENE$ antagonists for the treatment of obesity (Part I).	CPR:6
23535185.T12.T22	@CHEMICAL$ decreased expression of pro-inflammatory cytokines, such as tumor necrosis factor (TNF)-a, interleukin @GENE$, IL-1b, and IL-8.	CPR:4
11054378.T13.T35	The aim of this study was to define the molecular mechanism by which @CHEMICAL$ inhibits @GENE$ activation.	CPR:4
23428368.T4.T10	Cardiac hypertrophy, structural remodeling, and expression of the genes associated with fatty acid metabolism were examined in rats treated with triiodothyronine (T3) alone (8 mg/100 g body weight (BW), i.p.) for 15 days or along with a @CHEMICAL$ agonist bezafibrate (@GENE$; 30 mg/100 g BW, oral) and were found to improve in the Bzf co-treated condition.	CPR:5
23284002.T19.T38	Human immortalized corneal fibroblasts were treated with TGF-b in the presence of TSA, the NAD(P)H oxidase inhibitor diphenyleneiodonium (DPI), the antioxidant N-acetyl-cysteine (NAC), the @CHEMICAL$-antioxidant response element (Nrf2-ARE) activator @GENE$, or small interfering RNA.	CPR:3
16253547.T14.T22	Markers of activation in freshly isolated HSC were decreased by either retinol or retinoic acid without increases in HSC retinoid concentration. mRNA levels for RAR-alpha, @CHEMICAL$ and RAR-gamma, the nuclear receptors for retinoic acid, decreased during activation of freshly isolated HSC even with @GENE$ supplementation.	CPR:4
17350061.T6.T34	The expression of key genes important in @CHEMICAL$ metabolism, such as methionine adenosyltransferase-1a, @GENE$ and thioether S-methyltransferase, were suppressed.	CPR:9
12719755.T4.T10	We investigated the effect of @CHEMICAL$ blockade in the NTS on the response to stimulation of HDA in anaesthetised rats treated with the neuromuscular blocking agent @GENE$.	CPR:4
16965760.T15.T31	It has been known for decades that lithium chloride (@CHEMICAL$) leads to D-myo-inositol 1-phosphate accumulation on GPCR activation by inhibiting @GENE$, the final enzyme of the IP3 metabolic cascade.	CPR:4
16965760.T16.T31	It has been known for decades that lithium chloride (LiCl) leads to @CHEMICAL$ accumulation on GPCR activation by inhibiting @GENE$, the final enzyme of the IP3 metabolic cascade.	CPR:9
23602989.T22.T48	The selective @CHEMICAL$ inhibitor @GENE$ reversed the blockade produced by ionomycin and K(+)-depolarization.	CPR:4
23066988.T8.T26	Metformin significantly reduced ghrelin secretion and proghrelin mRNA production and both these effects were blocked by co-incubation with the AMPK inhibitor compound C. Furthermore, the @CHEMICAL$ activator @GENE$ (AICAR) significantly inhibited ghrelin secretion.	CPR:3
1356794.T7.T16	The preferential @CHEMICAL$ partial agonist, @GENE$, partially inhibited UK 14,304-induced antinociception.	CPR:5
12487427.T23.T65	In rat plasma the BrBK half-life values in the absence or in the presence of GW660511X (530 nM) or omapatrilat (50 nM) were 9.31 +/- 1.7, 22.06 +/- 3.1 and 25.3 +/- 1.7 min, respectively and BrBK was degraded into BrBK1-8, BrBK1-7, BrBK1-5 and Br-Phe5 plus BrBK2-9, BrBK4-8 and BrBK2-8 metabolites not found in human plasma. GW660511X and omapatrilat reduced the production of BrBK1-5 and BrBK1-7 with more effect being observed with omapatrilat. GW660511X and @CHEMICAL$ increased the production of both @GENE$ and Br-Phe5 but not that of BrBK4-8 and BrBK2-8.	CPR:3
10640321.T10.T25	Parenteral administration of selective agonists of the delta-opioid receptor (SB 227122), mu-opioid receptor (codeine and hydrocodone), and @CHEMICAL$ (@GENE$) produced dose-related inhibition of citric acid-induced cough with ED(50) values of 7.3, 5.2, 5.1, and 5.3 mg/kg, respectively.	CPR:5
23056222.T5.T25	Finally, @CHEMICAL$ suppressed unilateral ureteral obstruction (UUO)-induced renal fibrosis and alpha-SMA, fibronectin and type 1 collagen expression in the obstructed kidneys from UUO mice, along with increased and decreased expression of Nrf2 and @GENE$, respectively.	CPR:4
2888789.T5.T9	It is suggested that all the additional actions of @CHEMICAL$ can be attributed to a partial agonist action on @GENE$.	CPR:5
23474389.T6.T10	Synthesis and evaluation of @CHEMICAL$ as @GENE$ inhibitory anticancer agents.	CPR:4
9476974.T35.T48	At nonconvulsant doses, the @CHEMICAL$ blockers acetylprocainamide, dibucaine, dyclonine, @GENE$, proparacaine, quinidine, and tetracaine produced a small pressor response or no increase in BP.	CPR:4
3588607.T3.T39	@CHEMICAL$ are classical antagonists for @GENE$ for many of their pharmacological actions may be due to blockade of adenosine receptors. Caffeine and theophylline are virtually non-selective for A2 and A2 receptors.	CPR:6
9310349.T15.T36	Among the other @CHEMICAL$ studied, alendronate was more potent and selective for @GENE$.	CPR:4
16324695.T11.T24	Preincubation with 1 microM of the protein kinase C (PKC) activator phorbol 12-myristate 13-acetate (PMA) caused a small but significant decrease in @CHEMICAL$-induced E(max), indicating activated PKC-mediated heterologous @GENE$ desensitization.	CPR:5
23318685.T2.T10	Peginesatide, a @CHEMICAL$ (PEG)ylated peptide-based erythropoiesis-stimulating agent, stimulates the @GENE$ dimer that governs erythropoiesis.	CPR:3
16965760.T14.T31	It has been known for decades that @CHEMICAL$ (LiCl) leads to D-myo-inositol 1-phosphate accumulation on GPCR activation by inhibiting @GENE$, the final enzyme of the IP3 metabolic cascade.	CPR:4
17369473.T26.T51	Metformin and phenformin, which are @CHEMICAL$, have been reported to increase @GENE$ activity without increasing AMP/ATP.	CPR:3
7665369.T16.T33	Ergot alkaloids were also effective in inhibiting @CHEMICAL$-stimulated cyclic AMP production, with EC50 values for ergovaline, ergonovine, alpha-ergocryptine, @GENE$, and dopamine of 8 +/- 2, 47 +/- 2, 28 +/- 2, 2 +/- 1, and 8 +/- 1 nM, respectively.	CPR:4
23393127.T3.T20	Correlating with FSHb activation, both @CHEMICAL$ activity and levels of pCREB were increased to a greater extent by low compared with high @GENE$ pulse frequencies, and the induction of pCREB was also attenuated by overexpression of DNPKA at both low and high pulse frequencies.	CPR:3
23643745.T6.T46	The involvement of the various DA receptor subtypes in the motor effects of N/OFQ and NOP receptor antagonists was evaluated pharmacologically, using D1/D5 (SCH23390), D2/@CHEMICAL$ (raclopride, @GENE$) and D3 (S33084) receptor antagonists, and by using D2 receptor knockout mice.	CPR:6
18034539.T9.T17	One is that the binding of retinoids to nuclear retinoic acid receptors (RARs) does not match their therapeutic efficacy: acitretin activates the three receptor subtypes, RAR-alpha, -beta and -gamma, without measurable receptor binding, whereas @CHEMICAL$ preferentially binds to and activates RAR-beta and -gamma in preference to @GENE$.	CPR:3
9310349.T22.T25	@CHEMICAL$ inhibited @GENE$ with an IC50 value of 23 microM, PTPsigma with an IC50 value of 2 microM, and did not inhibit PTP epsilon at concentrations up to 1 mM. The alendronate inhibition of these three PTPs and two substrates is consistent with the formation of a ternary complex comprised of enzyme, substrate, and inhibitor.	CPR:4
12414329.T9.T22	Therefore, in men with ED, elevation of cGMP in corpus cavernosal tissue via selective inhibition of @CHEMICAL$-specific @GENE$ is a means of improving erectile function at minimal risk of adverse events.	CPR:4
15353299.T4.T23	While fluoropyrimidine antimetabolites have other sites of action, antifolates ZD1694 (raltitrexed, @CHEMICAL$) and AG337 (Thymitag) are more specific and potent @GENE$ inhibitors.	CPR:4
15975002.T17.T32	Early-onset diarrhea is observed immediately after CPT-11 infusion and probably due to the inhibition of @CHEMICAL$ activity, which can be eliminated by administration of @GENE$.	CPR:3
7875228.T7.T34	Furthermore, the phosphorylation of @CHEMICAL$ produced by norepinephrine was greater than that produced by @GENE$.	CPR:3
23292752.T1.T23	@CHEMICAL$ inhibitors, e.g. @GENE$ and apixaban, are potent, oral direct inhibitors of prothrombinase-bound, clot-associated or free FXa.	CPR:4
17459764.T20.T36	The inhibitory effects of GW9662 and @CHEMICAL$ (@GENE$ antagonists), on COX-2 expression and on stimulation of COX-2 promoter activity by EPA and GLA suggest that PPARgamma is implicated in COX-2 induction.	CPR:6
10561120.T3.T6	@CHEMICAL$, a potent inhibitor of @GENE$, at high concentration (500 microm ) caused only a 72% decrease in the utilization of resorufin.	CPR:4
17097861.T8.T29	This mRNA level elevation was not prevented by pretreatment with actinomycin D. When the PTB-binding site in @CHEMICAL$ mRNA was incubated with the islet cytosolic fraction, the RNA-protein complex level was increased in the cytosolic fraction obtained from @GENE$-treated rats compared to the level in control rats.	CPR:3
16618126.T25.T47	These results indicate that the @CHEMICAL$ activity of the secretory granule Atp8a1 is activated by phospholipids binding to a specific site whose properties (@GENE$ selectivity, dependence upon glycerol but not serine, stereochemistry, and vanadate sensitivity) are similar to, but distinct from, the properties of the substrate binding site of the plasma membrane flippase.	CPR:3
23396144.T1.T14	In another experiment, topical application of CFB, CFE or @CHEMICAL$ prior to UVB irradiation (200mJ/cm(2)) on BALB/c mice, inhibited the UVB-elevated protein levels of @GENE$, iNOS, and TNF-a.	CPR:4
23274898.T15.T39	Electrical stimulation, ATP, and insulin each increased fluorescent 2-NBD-Glucose (2-NBDG) uptake in primary myotubes, but only electrical stimulation and ATP-dependent 2-NBDG uptake were inhibited by adenosine-phosphate phosphatase and by @CHEMICAL$ blockade (@GENE$).	CPR:4
16618126.T21.T44	Weakly translocated lipids (PE, phosphatidylhydroxypropionate, and @CHEMICAL$) are also weak @GENE$ activators.	CPR:3
15133856.T12.T35	@CHEMICAL$ level in plasma and mesenteric arteries in imidapril group was significantly lower than that in @GENE$ group (P<0.05).	CPR:3
6311012.T19.T41	This agent acts synergistically with many penicillins, such as ampicillin, carbenicillin, and the like, and with cephalosporins, cefazolin, cefamandole, or @CHEMICAL$ to inhibit gram-negative bacilli, probably on the basis of binding to different proteins needed for the production of the @GENE$ of the bacterial cell wall.	CPR:3
17507169.T6.T16	Cannabinoid CB1 receptors in the paraventricular nucleus and central control of penile erection: immunocytochemistry, autoradiography and behavioral studies. [@CHEMICAL$] (SR 141716A), a selective @GENE$ antagonist, injected into the paraventricular nucleus of the hypothalamus (PVN) of male rats, induces penile erection.	CPR:6
11078056.T5.T21	This effect may due to induction of apoptosis through uncoupling of oxidative phosphorylation and down-regulation of @CHEMICAL$, as has been demonstrated for some nonselective NSAIDs, for instance, @GENE$.	CPR:4
23063595.T3.T13	Several effects of @CHEMICAL$ are useful in this scenario, including a reduction in the activities of cytokines and modulation of cellular metabolism through histone deacetylase inhibitors, @GENE$ activators, calorie-restriction mimetics or epigenetic regulators.	CPR:3
12487427.T2.T52	In addition the production of @CHEMICAL$ was enhanced in the presence of these inhibitors with a greater accumulation being observed with @GENE$.	CPR:3
16373326.T4.T20	In the presence of Na+ and under conditions in which @CHEMICAL$ transport function was suppressed, a second @GENE$ uptake system was detected that exhibited functional characteristics similar to those of the IMINO system.	CPR:9
11588409.T10.T23	Like conventional @CHEMICAL$ inhibitors, @GENE$ causes extracellular volume reduction and vasodilatation; moreover, it increases levels of atrial and brain natriuretic peptides and bradykinin.	CPR:4
10682715.T10.T23	@CHEMICAL$ (intravenous, 1 mg/kg), whose serotonergic actions include @GENE$ and 5-HT2 antagonism, typically raised serotonin levels (four of five cells) and always blocked inhibition by clomipramine (n = 3).	CPR:6
12472888.T1.T36	Pre-treatment with arsenite increased protein kinase B (@CHEMICAL$) and extracellular signal regulated kinase 1/2 (ERK1/2) phosphorylation after @GENE$.	CPR:3
19149483.T14.T46	Others kinase inhibitors used recently in cancer therapy include Dasatinib (BMS-354825) specific for ABL non-receptor cytoplasmic kinase, Gefitinib (Iressa), Erlotinib (OSI-774, Tarceva) and Sunitinib (SU 11248, Sutent) specific for VEGF receptor kinase, AMN107 (Nilotinib) and @CHEMICAL$ (NS-187) specific for @GENE$ kinase.	CPR:4
