index	sentence	label
DDI-DrugBank.d709.s4.p8	- Cisapride, pimozide: Other drugs such as @DRUG$ or pimozide, which are metabolised by hepatic CYP3A isozymes have been associated with QT interval prolongation and/or cardiac arrythmias (typically torsades de pointe) as a result of increase in their serum level subsequent to interaction with significant inhibitors of the isozyme, including some @DRUG$.	DDI-mechanism
DDI-DrugBank.d761.s13.p0	Therefore, as @DRUG$ absorption may be decreased with @DRUG$, patients on chronic stable doses of warfarin who are prescribed XENICAL should be monitored closely for changes in coagulation parameters.	DDI-mechanism
DDI-DrugBank.d629.s0.p1	Oral @DRUG$ has been reported to potentiate the anticoagulant effect of coumarin and @DRUG$, resulting in a prolongation of prothrombin time.	DDI-effect
DDI-DrugBank.d716.s0.p5	You cannot take @DRUG$ if you have taken a monoamine oxidase inhibitor (MAOI) such as isocarboxazid (Marplan), tranylcypromine (@DRUG$), or phenelzine (Nardil) in the last 14 days.	DDI-advise
DDI-DrugBank.d773.s2.p4	@DRUG$ (such as heparin and vitamin K antagonists) and drugs that alter platelet function (such as acetylsalicylic acid, dipyridamole, and GP IIb/IIIa inhibitors) may increase the risk of bleeding if administered prior to, during, or after @DRUG$ therapy.	DDI-effect
DDI-DrugBank.d624.s2.p0	Some @DRUG$ can enhance @DRUG$ toxicity by altering antibiotic concentrations in serum and tissue.	DDI-effect
DDI-DrugBank.d585.s0.p5	The following agents may increase certain actions or side effects of @DRUG$: amantadine, antiarrhythmic agents of class I (e.g., quinidine), antihistamines, antipsychotic agents (e.g., @DRUG$), benzodiazepines, MAO inhibitors, narcotic analgesics (e.g., meperidine), nitrates and nitrites, sympathomimetic agents, tricyclic antidepressants, and other drugs having anticholinergic activity.	DDI-effect
DDI-DrugBank.d776.s33.p2	Tacrolimus: There have been reports of nephrotoxicity in patients to whom @DRUG$ and @DRUG$ were coadministered.	DDI-effect
DDI-DrugBank.d655.s0.p1	@DRUG$ may interact with antidepressants (@DRUG$ type), MAO inhibitors (e.g., phenelzine, linezolid, tranylcypromine, isocarboxazid, selegiline, furazolidone), quinidine, amantadine, antihistamines (e.g., diphenhydramine), other anticholinergics, potassium chloride supplements, antacids, absorbent-type anti-diarrhea medicines (e.g., kaolin-pectin), phenothiazines (e.g., chlorpromazine, promethazine).	DDI-int
DDI-MedLine.d164.s4.p0	Furthermore, we present a case report in which a second @DRUG$ treatment following @DRUG$ resulted in the marked shrinkage of multiple metastatic tumors in HER2-positive breast cancer.	DDI-effect
DDI-DrugBank.d636.s3.p1	@DRUG$ may also affect the effects of other drugs, which include some steroid medications, @DRUG$, certain heart medicines, birth control pills, anti-infective medicines, furosemide and theophylline Please note that Mephenytoin may interact with other drugs that are not listed here.	DDI-effect
DDI-DrugBank.d695.s1.p1	Combination therapy with @DRUG$    (imiglucerase) and @DRUG$    is not indicated.	DDI-advise
DDI-DrugBank.d648.s6.p1	Caution should be used when @DRUG$ is coadministered with other highly protein-bound drugs, such as clofibrate, @DRUG$, naproxen, ibuprofen, diazepam, and diazoxide.	DDI-advise
DDI-DrugBank.d752.s10.p0	The sedative effect of @DRUG$ is accentuated by any concomitantly administered medication which depresses the central nervous system, particularly @DRUG$ (eg, morphine, meperidine and fentanyl), propofol, ketamine, nitrous oxide, secobarbital and droperidol.	DDI-effect
DDI-DrugBank.d734.s2.p0	Concomitant administration of @DRUG$ with @DRUG$ results in increased plasma levels of both drugs.	DDI-mechanism
DDI-DrugBank.d618.s1.p11	In addition to bleeding associated with heparin and vitamin K antagonists, drugs that alter platelet function (such as @DRUG$, dipyridamole, and abciximab) may increase the risk of bleeding if administered prior to or after @DRUG$    therapy.	DDI-effect
DDI-DrugBank.d630.s1.p0	Caution is advised for patients receiving high-dose @DRUG$ and @DRUG$ concomitantly, as anorexia, tachypnea, lethargy, coma and death have been reported with concomitant use of high-dose aspirin and carbonic anhydrase inhibitors.	DDI-advise
DDI-DrugBank.d776.s4.p1	@DRUG$ reduces the metabolism of tolbutamide, @DRUG$, and glipizide and increases the plasma concentration of these agents.	DDI-mechanism
DDI-DrugBank.d636.s3.p0	@DRUG$ may also affect the effects of other drugs, which include some @DRUG$, warfarin, certain heart medicines, birth control pills, anti-infective medicines, furosemide and theophylline Please note that Mephenytoin may interact with other drugs that are not listed here.	DDI-effect
DDI-DrugBank.d723.s0.p4	Other eye drops or medications such as @DRUG$ (Miochol) and carbachol (Carboptic, Isopto Carbachol) may decrease the effects of @DRUG$ ophthalmic.	DDI-effect
DDI-DrugBank.d632.s0.p2	Due to its effects on gastric emptying, @DRUG$ therapy should not be considered for patients taking drugs that alter gastrointestinal motility (e.g., anticholinergic agents such as atropine) and agents that slow the intestinal absorption of nutrients (e.g., @DRUG$).	DDI-advise
DDI-MedLine.d231.s8.p1	@DRUG$ and Lomefloxacin reacts faster with @DRUG$ and gelusil in acidic media whereas with erythromycin in basic media and multi-minerals in neutral media.	DDI-mechanism
DDI-DrugBank.d750.s0.p0	Concomitant use of @DRUG$ with @DRUG$ may result in an adverse drug interaction.	DDI-int
DDI-DrugBank.d653.s5.p2	This could lead to decreased salicylate serum levels or increase the risk of @DRUG$ toxicity when @DRUG$ is withdrawn.	DDI-effect
DDI-DrugBank.d752.s0.p0	Drug Interactions: Inhibitors of CYP3A4 Isozymes: Caution is advised when @DRUG$ is administered concomitantly with drugs that are known to inhibit the cytochrome P450 3A4 enzyme system (ie, some drugs in the drug classes of @DRUG$, protease inhibitors, calcium channel antagonists, and macrolide antibiotics).	DDI-advise
DDI-DrugBank.d575.s0.p2	In a study in which 34 different drugs were tested, therapeutically relevant concentrations of @DRUG$, sodium salicylate and sulfamethizole displaced protein-bound @DRUG$ in fresh human serum to a small but significant extent.	DDI-mechanism
DDI-DrugBank.d709.s3.p3	Although such a reaction has not been demonstrated with roxithromycin, concomitant administration of @DRUG$ with @DRUG$ or astemizole is not recommended.	DDI-advise
DDI-DrugBank.d775.s11.p0	The neuromuscular blocking effect of @DRUG$ may be enhanced by drugs that reduce plasma cholinesterase activity (e.g., chronically administered oral @DRUG$, glucocorticoids, or certain monoamine oxidase inhibitors) or by drugs that irreversibly inhibit plasma cholinesterase . Resistance to the neuromuscular blocking action of nondepolarizing neuromuscular blocking agents has been demonstrated in patients chronically administered phenytoin or carbamazepine.	DDI-effect
DDI-DrugBank.d596.s9.p13	Use with Cholinomimetics and Other Cholinesterase Inhibitors: A synergistic effect may be expected when @DRUG$ are given concurrently with succinylcholine, similar neuromuscular blocking agents or @DRUG$ such as bethanechol.	DDI-effect
DDI-DrugBank.d619.s4.p5	Severe toxicity has also been reported in patients receiving the combination of tricyclic antidepressants and ELDEPRYL and @DRUG$ and @DRUG$.	DDI-effect
DDI-DrugBank.d726.s1.p60	A multiple dose drug-drug interaction study demonstrated that ketoconazole approximately doubled paricalcitol AUC0-   . Since paricalcitol is partially metabolized by CYP3A and ketoconazole le is known to be a strong inhibitor of cytochrome P450 3A enzyme, care should be taken while dosing @DRUG$ with ketoconazole and other strong P450 3A inhibitors including atazanavir, clarithromycin, indinavir, itraconazole, nefazodone, @DRUG$, ritonavir, saquinavir, telithromycin or voriconazole.	DDI-advise
DDI-DrugBank.d700.s8.p0	Therefore, do not administer @DRUG$ with @DRUG$ or other agents that may interfere with enterohepatic recirculation or drugs that may bind bile acids, for example bile acid sequestrates or oral activated charcoal, because of the potential to reduce the efficacy of Myfortic.	DDI-advise
DDI-DrugBank.d723.s0.p11	Other eye drops or medications such as acetylcholine chloride (Miochol) and @DRUG$ (Carboptic, Isopto Carbachol) may decrease the effects of @DRUG$ ophthalmic.	DDI-effect
DDI-DrugBank.d670.s7.p0	@DRUG$ may antagonize the effect of @DRUG$ and other dopamine agonists.	DDI-effect
DDI-MedLine.d194.s9.p0	HEY cells treated with @DRUG$ plus @DRUG$ formed fewer colonies than did cells treated with either agent alone.	DDI-effect
DDI-DrugBank.d713.s0.p0	The concomitant use of @DRUG$ with other @DRUG$ that produce dry mouth, constipation, and other anticholinergic pharmacological effects may increase the frequency and/or severity of such effects.	DDI-effect
DDI-DrugBank.d633.s13.p0	Concurrent administration of @DRUG$ and @DRUG$    has been reported to increase, decrease, or leave unchanged Mexitil    plasma levels;	DDI-mechanism
DDI-MedLine.d216.s3.p0	@DRUG$ treatment increased the mean area under the plasma concentration-time curve extrapolated to infinity (AUC(0-   )) of oral @DRUG$ by 2.4-fold, whereas itraconazole treatment did not increase the exposure to S-ketamine.	DDI-mechanism
DDI-MedLine.d179.s7.p0	When cells were exposed to @DRUG$ followed by @DRUG$, synergism was observed.	DDI-effect
DDI-DrugBank.d584.s9.p2	Oral hypoglycemic agents @DRUG$ may inhibit the metabolism of oral @DRUG$.	DDI-mechanism
DDI-DrugBank.d578.s4.p3	Drugs that induce hepatic enzymes such as @DRUG$, phenytoin, and rifampin may increase the clearance of methylprednisolone and may require increased in @DRUG$ dose to achieve the desired response.	DDI-advise
DDI-DrugBank.d666.s3.p0	@DRUG$ has been shown to increase serum @DRUG$ levels when both drugs are co-administered.	DDI-mechanism
DDI-DrugBank.d578.s1.p0	Mutual inhibition of metabolism occurs with concurrent use of @DRUG$ and @DRUG$;	DDI-mechanism
DDI-DrugBank.d652.s3.p6	Absorption of drugs from the stomach may be diminished (e.g., digoxin) by @DRUG$, whereas the rate and/or extent of absorption of drugs from the small bowel may be increased (e.g., @DRUG$, tetracycline, levodopa, ethanol, cyclosporine).	DDI-mechanism
DDI-DrugBank.d776.s41.p1	While there is evidence that @DRUG$ can inhibit the metabolism of ethinyl estradiol and @DRUG$, there is no evidence that fluconazole is a net inducer of ethinyl estradiol or levonorgestrel metabolism.	DDI-mechanism
DDI-DrugBank.d711.s3.p0	The concurrent use of @DRUG$ and @DRUG$ has been reported to result in fatal renal toxicity.	DDI-effect
DDI-DrugBank.d715.s0.p1	Caution should be observed in administering @DRUG$ to patients receiving phenothiazines or @DRUG$ because the extrapyramidal effects of these drugs can be expected to be potentiated by inhibition of catecholamine synthesis.	DDI-advise
DDI-DrugBank.d703.s0.p17	Interaction with Other Central Nervous System Depressants: @DRUG$ SHOULD BE USED WITH GREAT CAUTION AND IN REDUCED DOSAGE IN PATIENTS WHO ARE CONCURRENTLY RECEIVING OTHER NARCOTIC ANALGESICS, GENERAL ANESTHETICS, PHENOTHIAZINES, OTHER TRANQUILIZERS, SEDATIVE-HYPNOTICS (INCLUDING BARBITURATES), TRICYCLIC ANTIDEPRESSANTS AND OTHER @DRUG$ (INCLUDING ALCOHOL).	DDI-advise
DDI-DrugBank.d777.s1.p10	Use of Anticoagulants and Antiplatelet Agents -- @DRUG$, Streptokinase, alone or in combination with @DRUG$ and anticoagulants, may cause bleeding complications.	DDI-effect
DDI-DrugBank.d723.s0.p13	Other eye drops or medications such as acetylcholine chloride (Miochol) and carbachol (@DRUG$, Isopto Carbachol) may decrease the effects of @DRUG$ ophthalmic.	DDI-effect
DDI-DrugBank.d726.s3.p0	Drugs that impair intestinal absorption of @DRUG$, such as @DRUG$, may interfere with the absorption of Zemplar Capsules.	DDI-mechanism
DDI-DrugBank.d650.s0.p25	Dopamine antagonists, such as the neuroleptics (phenothiazines, butyrophenones, thioxanthines ) or @DRUG$, ordinarily should not be administered concurrently with @DRUG$ (a dopamine agonist);	DDI-advise
DDI-DrugBank.d744.s1.p0	In clinical studies, patients on @DRUG$ often needed higher serum @DRUG$ concentrations to achieve appropriate IGF-I suppression compared with patients not receiving opioids.	DDI-mechanism
DDI-DrugBank.d784.s3.p2	Mean oxybutynin chloride plasma concentrations were approximately 2 fold higher when @DRUG$ was administered with @DRUG$, a potent CYP3A4 inhibitor.	DDI-mechanism
DDI-DrugBank.d653.s1.p7	Drugs that induce hepatic enzymes such as phenobarbital, phenytoin and @DRUG$ may increase the clearance of @DRUG$ and may require increases in corticosteroid dose to achieve the desired response.	DDI-mechanism
DDI-DrugBank.d640.s3.p8	Use of potassium-sparing diuretics (@DRUG$, triamterene, amiloride) or potassium supplements concomitantly with @DRUG$ can increase the risk of hyperkalemia.	DDI-effect
DDI-DrugBank.d775.s10.p17	Other drugs which may enhance the neuromuscular blocking action of nondepolarizing agents such as @DRUG$ include certain antibiotics (e.g., aminoglycosides, @DRUG$, bacitracin, polymyxins, lincomycin, clindamycin, colistin, and sodium colistimethate), magnesium salts, lithium, local anesthetics, procainamide, and quinidine.	DDI-int
DDI-DrugBank.d699.s0.p1	@DRUG$ can interact with CNS depressant, @DRUG$, TCA, MAOIs, and alcohol.	DDI-int
DDI-DrugBank.d637.s1.p0	Use of @DRUG$ in conjunction with oral @DRUG$ may increase the risk of respiratory depression, hypotension and profound sedation or coma.	DDI-effect
DDI-DrugBank.d776.s13.p2	Cyclosporine: @DRUG$ may significantly increase @DRUG$ levels in renal transplant patients with or without renal impairment.	DDI-mechanism
DDI-MedLine.d209.s9.p2	It is better to avoid prescribing isoenzyme CYP 2D6 inhibitors to women treated with @DRUG$ for breast cancer, especially SSRI antidepressants such as paroxetine and @DRUG$.	DDI-advise
DDI-DrugBank.d603.s5.p27	ProAmatine. Alpha-adrenergic blocking agents, such as @DRUG$, terazosin, and doxazosin, can antagonize the effects of @DRUG$. Potential for Drug Interactions: It appears possible, although there is no supporting experimental evidence, that the high renal clearance of desglymidodrine (a base) is due to active tubular secretion by the base-secreting system also responsible for the secretion of such drugs as metformin, cimetidine, ranitidine, procainamide, triamterene, flecainide, and quinidine.	DDI-effect
DDI-DrugBank.d650.s0.p16	Dopamine antagonists, such as the neuroleptics (@DRUG$, butyrophenones, thioxanthines ) or metoclopramide, ordinarily should not be administered concurrently with @DRUG$ (a dopamine agonist);	DDI-advise
DDI-DrugBank.d761.s3.p2	Fat-soluble Vitamin Supplements and Analogues: A pharmacokinetic interaction study showed a 30% reduction in @DRUG$ supplement absorption when concomitantly administered with @DRUG$.	DDI-mechanism
DDI-DrugBank.d722.s1.p8	As there is in vitro evidence that aminosalicylate derivatives (e.g., olsalazine, @DRUG$, or sulphasalazine) inhibit the TPMT enzyme, they should be administered with caution to patients receiving concurrent @DRUG$ therapy.	DDI-mechanism
DDI-DrugBank.d624.s3.p0	@DRUG$ should not be administered concomitantly with @DRUG$, furosemide, urea, or mannitol.	DDI-advise
DDI-DrugBank.d639.s2.p4	Co-administration of @DRUG$ with inducers of the CYP3A4 family (e.g., dexamethasone, phenytoin, carbamazepine, rifampin, @DRUG$, rifapentin, phenobarbital, St. Johns Wort) may decrease sunitinib concentrations.	DDI-mechanism
DDI-DrugBank.d661.s1.p0	If @DRUG$    is administered following administration of @DRUG$, it should not be given until recovery from succinylcholine has been observed.	DDI-advise
DDI-DrugBank.d603.s5.p16	ProAmatine. @DRUG$, such as prazosin, terazosin, and doxazosin, can antagonize the effects of @DRUG$. Potential for Drug Interactions: It appears possible, although there is no supporting experimental evidence, that the high renal clearance of desglymidodrine (a base) is due to active tubular secretion by the base-secreting system also responsible for the secretion of such drugs as metformin, cimetidine, ranitidine, procainamide, triamterene, flecainide, and quinidine.	DDI-effect
DDI-DrugBank.d775.s10.p20	Other drugs which may enhance the neuromuscular blocking action of nondepolarizing agents such as @DRUG$ include certain antibiotics (e.g., aminoglycosides, tetracyclines, bacitracin, polymyxins, @DRUG$, clindamycin, colistin, and sodium colistimethate), magnesium salts, lithium, local anesthetics, procainamide, and quinidine.	DDI-int
DDI-DrugBank.d781.s11.p13	Digoxin: A controlled pharmacokinetic study has shown no effect on plasma digoxin concentrations when coadministered with ACEON    Tablets, but an effect of @DRUG$ on the plasma concentration of perindopril/@DRUG$ has not been excluded.	DDI-mechanism
DDI-DrugBank.d738.s0.p0	Do not exceed a 5 mg daily dose of @DRUG$ when administered with therapeutic doses of @DRUG$ or other potent CYP3A4 inhibitors.	DDI-advise
DDI-DrugBank.d639.s2.p5	Co-administration of @DRUG$ with inducers of the CYP3A4 family (e.g., dexamethasone, phenytoin, carbamazepine, rifampin, rifabutin, @DRUG$, phenobarbital, St. Johns Wort) may decrease sunitinib concentrations.	DDI-mechanism
DDI-DrugBank.d637.s0.p10	Use with Other Central Nervous System Depressants: The depressant effects of @DRUG$ are potentiated by the presence of other CNS depressants such as alcohol, sedatives, antihistaminics, or @DRUG$.	DDI-effect
DDI-DrugBank.d776.s14.p2	Careful monitoring of cyclosporine concentrations and serum creatinine is recommended in patients receiving @DRUG$ and @DRUG$.	DDI-advise
DDI-DrugBank.d752.s6.p2	Inducers of CYP3A4 Isozymes: Cytochrome P450 inducers, such as @DRUG$, carbamazepine, and phenytoin, induce metabolism and caused a markedly decreased C max and AUC of oral @DRUG$ in adult studies.	DDI-mechanism
DDI-DrugBank.d775.s11.p1	The neuromuscular blocking effect of @DRUG$ may be enhanced by drugs that reduce plasma cholinesterase activity (e.g., chronically administered oral contraceptives, @DRUG$, or certain monoamine oxidase inhibitors) or by drugs that irreversibly inhibit plasma cholinesterase . Resistance to the neuromuscular blocking action of nondepolarizing neuromuscular blocking agents has been demonstrated in patients chronically administered phenytoin or carbamazepine.	DDI-effect
DDI-DrugBank.d689.s0.p1	@DRUG$, particularly metaraminol, may cause serious cardiac arrhythmias during @DRUG$ anesthesia and therefore should be used only with great caution or not at all.	DDI-effect
DDI-DrugBank.d771.s1.p0	@DRUG$ should be used with care in patients taking other drugs that are capable of causing CNS effects such as @DRUG$, tranquilizers, or alcohol.	DDI-advise
DDI-MedLine.d231.s8.p7	Moxifloxacin and @DRUG$ reacts faster with sucralfate and gelusil in acidic media whereas with @DRUG$ in basic media and multi-minerals in neutral media.	DDI-mechanism
DDI-DrugBank.d711.s4.p0	Concurrent use of @DRUG$ with oral @DRUG$ may render oral contraceptives less effective.	DDI-effect
DDI-DrugBank.d572.s9.p2	Cyclosporine: The total @DRUG$ level increased 12-fold in one renal transplant patient receiving multiple medications, including @DRUG$.	DDI-mechanism
DDI-MedLine.d169.s8.p0	@DRUG$ doses   1000 mg diminished @DRUG$ absorption by an average of 49.6%.	DDI-mechanism
DDI-DrugBank.d743.s9.p5	Macrolides: Clinical drug interaction studies indicate that @DRUG$ and clarithromycin can exert an effect on @DRUG$ metabolism by a mechanism which may be similar to that of ketoconazole, but to a lesser extent.	DDI-mechanism
DDI-DrugBank.d776.s36.p0	This effect on @DRUG$ appears to be more pronounced following oral administration of @DRUG$ than with fluconazole administered intravenously.	DDI-effect
DDI-DrugBank.d711.s1.p2	Since bacteriostatic drugs may interfere with the bactericidal action of penicillin, it is advisable to avoid giving @DRUG$ in conjunction with @DRUG$.	DDI-advise
DDI-DrugBank.d737.s6.p80	Other drugs eliminated via renal secretion: Population pharmacokinetic analysis suggests that coadministration of drugs that are secreted by the cationic transport system (e.g., cimetidine, ranitidine, diltiazem, triamterene, verapamil, quinidine, and quinine) decreases the oral clearance of pramipexole by about 20%, while those secreted by the anionic transport system (e.g., @DRUG$, penicillins, indomethacin, hydrochlorothiazide, and chlorpropamide) are likely to have little effect on the oral clearance of @DRUG$.	DDI-mechanism
DDI-DrugBank.d603.s5.p65	ProAmatine. Alpha-adrenergic blocking agents, such as prazosin, terazosin, and doxazosin, can antagonize the effects of ProAmatine. Potential for Drug Interactions: It appears possible, although there is no supporting experimental evidence, that the high renal clearance of @DRUG$ (a base) is due to active tubular secretion by the base-secreting system also responsible for the secretion of such drugs as metformin, cimetidine, @DRUG$, procainamide, triamterene, flecainide, and quinidine.	DDI-mechanism
DDI-DrugBank.d639.s0.p4	Co-administration of @DRUG$ with strong inhibitors of the CYP3A4 family (e.g., ketoconazole, itraconazole, clarithromycin, atazanavir, @DRUG$, nefazodone, nelfinavir, ritonavir, saquinavir, telithromycin, voriconizole) may increases sunitinib concentrations.	DDI-mechanism
DDI-DrugBank.d763.s3.p24	Phenytoin, Carbamazepine, and Rifampicin: In patients treated with potent inducers of CYP3A4 (i.e., phenytoin, @DRUG$, and rifampicin), the clearance of ondansetron was significantly increased and @DRUG$ blood concentrations were decreased.	DDI-mechanism
